8,4,9,5,7,2,10,3,6,1,game_id,home_away
erstd001,kenna001,salmt001,glaut001,andeg001,woots001,gil-b001,spies001,ecksd001,washj001,ANA200106050,home
longt002,menef001,piata001,chave001,damoj001,hernr002,saeno001,giamj001,tejam001,muldm001,ANA200106050,away
erstd001,kenna001,salmt001,glaut001,andeg001,fabrj001,palmo001,joynw001,ecksd001,rappp001,ANA200106060,home
longt002,menef001,jennr001,chave001,damoj001,hernr002,saeno001,giamj001,tejam001,hudst001,ANA200106060,away
erstd001,kenna001,salmt001,glaut001,andeg001,woots001,gil-b001,spies001,ecksd001,schos001,ANA200106070,home
damoj001,menef001,jennr001,chave001,byrne001,hernr002,saeno001,giamj001,tejam001,zitob001,ANA200106070,away
erstd001,kenna001,davaj001,glaut001,andeg001,fabrj001,salmt001,spies001,ecksd001,ortir002,ANA200106150,home
goodt001,bocah001,grees001,belta001,shefg001,kreuc001,hansd001,karre001,coraa001,parkc002,ANA200106150,away
erstd001,kenna001,davaj001,spies001,andeg001,woots001,glaut001,barnl001,ecksd001,washj001,ANA200106160,home
grism001,bocah001,grees001,belta001,shefg001,lodup001,kreuc001,karre001,coraa001,adamt001,ANA200106160,away
erstd001,kenna001,davaj001,glaut001,palmo001,fabrj001,andeg001,barnl001,ecksd001,rappp001,ANA200106170,home
goodt001,branj002,grees001,hansd001,grism001,lodup001,shefg001,karre001,coraa001,prokl001,ANA200106170,away
erstd001,kenna001,salmt001,glaut001,andeg001,woots001,ecksd001,spies001,gil-b001,ortir002,ANA200106250,home
kaplg001,younm003,leder001,lambm001,cataf001,rodri001,sierr001,palmr001,rodra001,rogek001,ANA200106250,away
erstd001,kenna001,salmt001,glaut001,andeg001,fabrj001,palmo001,barnl001,ecksd001,wisem001,ANA200106260,home
kaplg001,younm003,portb001,lambm001,cataf001,rodri001,sierr001,palmr001,rodra001,hellr001,ANA200106260,away
erstd001,kenna001,salmt001,glaut001,andeg001,molib001,gil-b001,woots001,ecksd001,washj001,ANA200106270,home
kaplg001,younm003,sierr001,shels001,portb001,rodri001,palmr001,galaa001,rodra001,david002,ANA200106270,away
erstd001,kenna001,salmt001,glaut001,andeg001,woots001,ecksd001,spies001,gil-b001,rappp001,ANA200106280,home
kaplg001,younm003,leder001,lambm001,cataf001,rodri001,sierr001,palmr001,rodra001,olivd001,ANA200106280,away
erstd001,kenna001,salmt001,glaut001,andeg001,molib001,woots001,gil-b001,ecksd001,schos001,ANA200106290,home
camem001,boonb002,suzui001,belld002,javis001,wilsd001,marte001,olerj001,guilc001,moyej001,ANA200106290,away
erstd001,kenna001,salmt001,glaut001,palmo001,fabrj001,andeg001,barnl001,ecksd001,ortir002,ANA200106300,home
camem001,boonb002,suzui001,belld002,marta001,lampt001,marte001,olerj001,mclem001,stard001,ANA200106300,away
erstd001,kenna001,palmo001,glaut001,andeg001,molib001,spies001,barnl001,ecksd001,wisem001,ANA200107010,home
camem001,boonb002,suzui001,mclem001,marta001,wilsd001,marte001,olerj001,guilc001,garcf002,ANA200107010,away
erstd001,kenna001,davaj001,glaut001,andeg001,molib001,woots001,gil-b001,ecksd001,schos001,ANA200107120,home
bautd001,spivj001,sandr002,willm003,gonzl001,moelc001,bellj001,gracm001,womat001,andeb002,ANA200107120,away
erstd001,kenna001,palmo001,glaut001,andeg001,molib001,woots001,spies001,ecksd001,valdi001,ANA200107130,home
delld001,bellj001,sandr002,willm003,gonzl001,milld002,durae001,gracm001,womat001,schic002,ANA200107130,away
erstd001,gil-b001,davaj001,glaut001,andeg001,molib001,woots001,spies001,ecksd001,washj001,ANA200107140,home
bautd001,spivj001,sandr002,willm003,gonzl001,milld002,bellj001,gracm001,womat001,johnr005,ANA200107140,away
erstd001,kenna001,palmo001,glaut001,andeg001,molib001,woots001,spies001,ecksd001,ortir002,ANA200107150,home
kotsm001,jackd003,darrm001,nevip001,tramb001,davib003,gwynt001,klesr001,jimed001,lawrb001,ANA200107150,away
erstd001,kenna001,palmo001,glaut001,andeg001,fabrj001,woots001,spies001,ecksd001,rappp001,ANA200107160,home
kotsm001,jackd003,darrm001,nevip001,hendr001,davib003,magad001,klesr001,jimed001,tollb001,ANA200107160,away
erstd001,kenna001,palmo001,glaut001,andeg001,molib001,woots001,spies001,gil-b001,schos001,ANA200107170,home
browe001,jackd003,tramb001,nevip001,hendr001,davib003,gonzw001,ariaa001,jimed001,joneb003,ANA200107170,away
erstd001,gil-b001,salmt001,glaut001,andeg001,molib001,woots001,spies001,ecksd001,washj001,ANA200107240,home
tynej001,aberb001,winnr001,johnr006,vaugg001,difem001,grieb001,mcgrf001,gomec001,kennj001,ANA200107240,away
erstd001,kenna001,salmt001,glaut001,andeg001,woots001,palmo001,spies001,ecksd001,wisem001,ANA200107250,home
tynej001,aberb001,winnr001,huffa001,vaugg001,difem001,grieb001,mcgrf001,gomec001,wilsp001,ANA200107250,away
erstd001,kenna001,salmt001,glaut001,andeg001,molib001,gil-b001,spies001,ecksd001,ortir002,ANA200107260,home
tynej001,aberb001,winnr001,huffa001,vaugg001,flahj001,grieb001,mcgrf001,gomec001,ruper001,ANA200107260,away
erstd001,kenna001,salmt001,glaut001,palmo001,molib001,andeg001,spies001,ecksd001,schos001,ANA200107270,home
richc001,hairj002,andeb001,ripkc001,kinkm001,lunaf001,robeb003,conij001,moram002,johnj007,ANA200107270,away
erstd001,kenna001,salmt001,glaut001,spies001,molib001,andeg001,woots001,ecksd001,rappp001,ANA200107280,home
bigbl001,hairj002,richc001,batit001,andeb001,lunaf001,gibbj002,conij001,robeb003,robew001,ANA200107280,away
erstd001,kenna001,salmt001,glaut001,spies001,molib001,andeg001,woots001,gil-b001,valdi001,ANA200107290,home
bigbl001,hairj002,richc001,ripkc001,andeb001,fordb001,gibbj002,conij001,robeb003,mercj001,ANA200107290,away
erstd001,kenna001,salmt001,glaut001,andeg001,fabrj001,palmo001,spies001,ecksd001,rappp001,ANA200108070,home
singc001,durhr001,ordom001,valej003,liefj001,johnm003,cansj001,konep001,clayr001,wellk001,ANA200108070,away
erstd001,nievj002,salmt001,glaut001,andeg001,molib001,woots001,gil-b001,ecksd001,washj001,ANA200108080,home
rowaa001,durhr001,ordom001,perrh001,lee-c001,aloms001,cansj001,konep001,clayr001,buehm001,ANA200108080,away
erstd001,kenna001,salmt001,glaut001,andeg001,molib001,palmo001,spies001,ecksd001,valdi001,ANA200108090,home
singc001,durhr001,ordom001,valej003,lee-c001,johnm003,cansj001,konep001,clayr001,lowes001,ANA200108090,away
erstd001,kenna001,salmt001,glaut001,andeg001,molib001,palmo001,spies001,ecksd001,schos001,ANA200108100,home
cruzj004,bushh001,mondr002,lopef001,stews002,casta001,fullb001,delgc001,gonza001,lyonb003,ANA200108100,away
erstd001,kenna001,salmt001,glaut001,andeg001,molib001,palmo001,spies001,ecksd001,ortir002,ANA200108110,home
cruzj004,bushh001,mondr002,lopef001,stews002,fletd001,fullb001,delgc001,gonza001,loaie001,ANA200108110,away
erstd001,kenna001,salmt001,glaut001,andeg001,fabrj001,palmo001,spies001,ecksd001,rappp001,ANA200108120,home
cruzj004,fryej001,mondr002,lopef001,lathc001,fletd001,fullb001,delgc001,gonza001,hallr001,ANA200108120,away
erstd001,kenna001,salmt001,glaut001,andeg001,molib001,palmo001,spies001,ecksd001,valdi001,ANA200108200,home
nixot001,lansm001,oleat001,stync001,bichd001,mirad001,everc001,hills002,garcn001,castf001,ANA200108200,away
erstd001,kenna001,salmt001,glaut001,andeg001,fabrj001,woots001,spies001,ecksd001,schos001,ANA200108210,home
nixot001,stync001,oleat001,hills002,bichd001,mirad001,everc001,offej001,lansm001,coned001,ANA200108210,away
erstd001,kenna001,salmt001,glaut001,andeg001,molib001,ecksd001,spies001,gil-b001,ortir002,ANA200108220,home
nixot001,lansm001,oleat001,hills002,bichd001,mirad001,everc001,offej001,garcn001,waket001,ANA200108220,away
erstd001,gil-b001,salmt001,glaut001,andeg001,molib001,woots001,spies001,ecksd001,rappp001,ANA200108230,home
nixot001,lansm001,oleat001,stync001,bichd001,mirad001,everc001,hills002,garcn001,fossc001,ANA200108230,away
erstd001,gil-b001,salmt001,glaut001,andeg001,molib001,woots001,spies001,ecksd001,washj001,ANA200108240,home
willb002,soria001,oneip001,bellc001,knobc001,posaj001,justd001,johnn001,jeted001,petta001,ANA200108240,away
erstd001,kenna001,davaj001,glaut001,palmo001,fabrj001,andeg001,spies001,ecksd001,valdi001,ANA200108250,home
willb002,soria001,oneip001,wilse001,justd001,posaj001,martt002,johnn001,jeted001,clemr001,ANA200108250,away
erstd001,kenna001,salmt001,spies001,andeg001,molib001,palmo001,woots001,ecksd001,schos001,ANA200108260,home
willb002,wilse001,oneip001,bellc001,spens001,posaj001,justd001,johnn001,jeted001,herno001,ANA200108260,away
erstd001,kenna001,salmt001,glaut001,andeg001,molib001,palmo001,spies001,ecksd001,washj001,ANA200109040,home
beltc001,feblc001,quinm001,randj002,browd002,zaung001,sweem002,mccad001,peren001,suppj001,ANA200109040,away
davaj001,kenna001,salmt001,glaut001,andeg001,molib001,ecksd001,spies001,gil-b001,valdi001,ANA200109050,home
